Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-07-23,A Quiet Place Part II,2020,https://boxd.it/20WK9F,5,Yes,My brother who I sat next to is a loud breather,,2021-07-22
2023-07-13,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4vI5SL,4,Yes,Does the review thing work on the second go?,,2023-07-12
