Date,Name,Year,Letterboxd URI,Rating
2022-04-29,Black Mirror: White Bear,2013,https://boxd.it/hRpG,5
2022-04-30,Moon Knight,2022,https://boxd.it/zeDq,4
2022-04-30,Black Mirror: San Junipero,2016,https://boxd.it/k4aS,5
2022-05-18,Fight Club,1999,https://boxd.it/2a9q,5
2022-05-20,Taxi Driver,1976,https://boxd.it/2b8y,5
2022-05-25,The Unbearable Weight of Massive Talent,2022,https://boxd.it/o6eK,4
2022-06-07,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,5
2022-06-08,Bo Burnham: The Inside Outtakes,2022,https://boxd.it/C0h2,5
2022-06-22,The Northman,2022,https://boxd.it/nK2s,5
2022-06-23,Jurassic World Dominion,2022,https://boxd.it/ikXW,0.5
2022-06-25,Obi-Wan Kenobi,2022,https://boxd.it/yLBA,0.5
2022-06-29,The Hunger Games,2012,https://boxd.it/2uds,3
2022-06-29,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,4
2022-07-05,A Silent Voice: The Movie,2016,https://boxd.it/d99c,5
2022-07-21,Contagion,2011,https://boxd.it/13rq,3
2022-07-22,Nope,2022,https://boxd.it/sDCe,5
2022-07-22,The Bob's Burgers Movie,2022,https://boxd.it/if7w,4
2022-07-23,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4
2022-07-23,Napoleon Dynamite,2004,https://boxd.it/20wu,4
2022-07-23,In the Heights,2021,https://boxd.it/gLhu,4
2022-07-23,American Sniper,2014,https://boxd.it/5LDy,3.5
2022-07-23,10 Cloverfield Lane,2016,https://boxd.it/aZiu,4
2022-07-23,Train to Busan,2016,https://boxd.it/dSQU,4.5
2022-07-23,Home Alone,1990,https://boxd.it/29Fg,4
2022-07-23,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,4.5
2022-07-23,Turning Red,2022,https://boxd.it/ipkq,4.5
2022-07-23,Shrek,2001,https://boxd.it/29zi,4
2022-07-23,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,0.5
2022-07-23,Reservoir Dogs,1992,https://boxd.it/2agc,4.5
2022-07-23,Free Guy,2021,https://boxd.it/k8dm,3.5
2022-07-23,Midnight in Paris,2011,https://boxd.it/i4a,4
2022-07-23,Enola Holmes,2020,https://boxd.it/hX2o,3.5
2022-07-23,Black Widow,2021,https://boxd.it/hWV8,3.5
2022-07-23,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,3.5
2022-07-23,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,3.5
2022-07-23,Old,2021,https://boxd.it/npKI,3.5
2022-07-23,Death to 2021,2021,https://boxd.it/yj28,2.5
2022-07-23,The King's Man,2021,https://boxd.it/h714,3
2022-07-23,The Boss Baby: Family Business,2021,https://boxd.it/goWY,3
2022-07-23,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,0.5
2022-07-23,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,3
2022-07-23,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/hSyO,3
2022-07-23,Spider-Man,2002,https://boxd.it/2a8i,3.5
2022-07-23,The Matrix Resurrections,2021,https://boxd.it/n87k,2.5
2022-07-23,Jungle Cruise,2021,https://boxd.it/g4YK,3
2022-07-23,Wrath of Man,2021,https://boxd.it/nEia,3.5
2022-07-23,American Made,2017,https://boxd.it/bb66,3.5
2022-07-23,Nacho Libre,2006,https://boxd.it/1YTG,4
2022-07-23,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2022-07-23,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2022-07-23,Thor: Ragnarok,2017,https://boxd.it/8MHi,4.5
2022-07-23,Spider-Man: Homecoming,2017,https://boxd.it/aboM,4
2022-07-23,Hereditary,2018,https://boxd.it/hNVe,4.5
2022-07-23,Soul,2020,https://boxd.it/ioLA,4
2022-07-23,Spider-Man: Far From Home,2019,https://boxd.it/fegG,4
2022-07-23,Ratatouille,2007,https://boxd.it/27ww,3.5
2022-07-23,Inside Out,2015,https://boxd.it/4KHC,4.5
2022-07-23,A Quiet Place,2018,https://boxd.it/fVJQ,4.5
2022-07-23,Back to the Future,1985,https://boxd.it/2b8e,4.5
2022-07-23,Captain America: Civil War,2016,https://boxd.it/89Ja,3.5
