Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-07-27,Robots,2005,https://boxd.it/34hO7v,4,,They really said seize the means of production,,2022-07-26
2022-08-05,Where the Crawdads Sing,2022,https://boxd.it/3640i1,3.5,,Maybe evil exists and has free reign in nature but justice does not. Or is evil not real and life/kya just endures against all odds? It’s not difficult to imagine that the only reason the jury didn’t find her guilty was because of her brilliantly leveraged alibi. I think she would have been condemned with no evidence which goes to show there is no real justice for— the never treated fairly—marsh girl. What she did for her survival might’ve been evil if only true justice could save her but neither are real so it couldn’t.,,2022-08-04
2022-10-15,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/3k5n4J,5,,😭😭😭,,2022-10-14
2022-10-15,See How They Run,2022,https://boxd.it/3kdJjx,3.5,,Such a fun whodunit… Scared shitless though when during a quiet part of the movie a loud knocking sounded at the emergency exit doors. I walked out to let the theater employees know and nothing came of it. Gotta love fearing for my life going to the movies 🍿☠️🪦⚰️🎥🎬,,2022-10-14
2022-11-10,The Shawshank Redemption,1994,https://boxd.it/3pN2Ct,5,,When Shaw got shanked that was the most redeeming moment in cinematic history,,2022-11-09
2022-11-12,Black Panther: Wakanda Forever,2022,https://boxd.it/3qgGWB,4,,Namor is so fucking cool,,2022-11-12
2022-11-25,Midnight Mass,2021,https://boxd.it/3sRQ6R,5,Yes,"“What happens when you die? Speaking for yourself.”

“Myself. My self. That’s the problem. That’s the whole problem with the whole thing. That word, “self.” Thats not the word. That’s not right, that isn’t…How did I forget that? When did I forget that? The body stops a cell at a time, but the brain keeps firing those neurons. Little lightning bolts, like fireworks inside and I thought I’d despair or feel afraid, but I don’t feel any of that. None of it. Because I’m too busy. I’m too busy in the moment. Remembering. Of course. I remember that every atom in my body was forged in a star. This matter, this body is mostly empty space after all, and solid matter. It’s just energy vibrating very slowly while there is no me. There never was. The electrons of my body mingle and dance with the electrons of the ground below me and the air I’m no longer breathing. And I remember there is no point where any of that ends and I begin. I remember I am energy. Not memory. Not self. My name, my personality, my choices, all came after me. I was before them and I will be after, and everything else is pictures, picked up along the way. Fleeting little dreamlets printed on the tissue of my dying brain. And I am the lightning that jumps between. I am the energy firing the neurons, and I’m returning. Just by remembering, I’m returning home. And it’s like a drop of water falling back into the ocean, of which it’s always been a part. All things… a part. You, me and my little girl, and my mother and my father, everyone who’s ever been, every plant, every animal, every atom, every start, every galaxy, all of it. More galaxies in the universe than grains of sand on the beach. And that’s what we’re talking about when we say “God.” The cosmos and its infinite dreams. We are the cosmos dreaming of itself. It’s simply a dream that I think is my life, every time. But I’ll forget this. I always do. I always forget my dreams. But now, in this split-second, in the moment I remember, the instant I remember, I comprehend everything at once. There is no time. There is no death. Life is a dream. It’s a wish. Made again and again and again and again and again and again and on into eternity. And I am all of it. I am everything. I am all. I am that I am.”",,2022-11-24
2022-11-27,The Bad Guys,2022,https://boxd.it/3toQVV,4,,Directed at coming of age friendships. Good friends will come around through changes you need to make in your life even if it effects the normal dynamic. If/when that strains the friendship you still can be there for each other but not at the cost of who you want to be.,,2022-11-26
2022-12-21,Avatar: The Way of Water,2022,https://boxd.it/3yIqDr,5,,Holy shit. How is none of this real,,2022-12-20
2022-12-23,The Whale,2022,https://boxd.it/3z2Wrd,,,"I was feeling at the end of the movie that rating someone’s art is kind of a bad idea. Other mediums of art don’t get rated, they start a discussion and I feel like that’s what this movie deserves.",,2022-12-22
2022-12-28,Guillermo del Toro's Pinocchio,2022,https://boxd.it/3AZG8r,5,,Wow this hit like a truck in the last ten minutes. Such Joy… such terrible joy 🥹,,2022-12-27
2023-01-02,Strange World,2022,https://boxd.it/3CToTv,4,,NOT ONE SINGLE PERSON IN THE REVIEWS THOUGHT THIS WAS A GOOD MOVIE??,,2023-01-01
2023-01-03,The Man from U.N.C.L.E.,2015,https://boxd.it/3DvwNL,4,,"Fun as hell. Loved the dynamic between the three of them. Music, writing, pace, editing 👌",,2023-01-03
2023-01-03,The Batman,2022,https://boxd.it/3DvzkH,5,Yes,That moment when he is no longer vengeance and becomes hope.. 😭 god damn,,2023-01-03
2023-01-04,About Time,2013,https://boxd.it/3DRcS1,5,Yes,Perfect 👌 But did he ever go back and stop Posey from shredding Mary’s manuscripts?,,2023-01-03
2023-01-15,Puss in Boots: The Last Wish,2022,https://boxd.it/3HVaL7,5,Yes,"You know what they say, you can’t bake a pie without losing a dozen men. 👍",,2023-01-14
2023-01-29,Puss in Boots: The Last Wish,2022,https://boxd.it/3Msby1,5,Yes,The scene when puss is having an anxiety attack and perrito helps bring him down ❤️😭,,2023-01-28
2023-02-05,Luca,2021,https://boxd.it/3OsIxj,5,Yes,Always sobbing at the climax and the resolution,,2023-02-04
2023-02-27,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3UDLXZ,4,,Do you have ice cream?,,2023-02-26
