Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-05,Luca,2021,https://boxd.it/3OsIxj,5,Yes,,2023-02-04
2023-02-27,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3UDLXZ,4,,,2023-02-26
2023-03-01,Knock at the Cabin,2023,https://boxd.it/3VeRkD,,,,2023-02-28
2023-03-05,Godzilla vs. Kong,2021,https://boxd.it/3WmL6P,,,,2023-03-04
2023-03-18,Don't Worry Darling,2022,https://boxd.it/3ZW1vt,2.5,,,2023-03-17
2023-04-17,Suzume,2022,https://boxd.it/486pzB,3.5,,,2023-04-16
2023-04-23,Hidden Figures,2016,https://boxd.it/49BROb,4.5,Yes,,2023-04-22
2023-04-25,Beau Is Afraid,2023,https://boxd.it/4a9swp,4,,,2023-04-24
2023-05-02,BEEF,2023,https://boxd.it/4c2nhD,5,,,2023-05-01
2023-05-06,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4dgoPt,4.5,,,2023-05-05
2023-05-30,Love & Death,2023,https://boxd.it/4j3moX,5,,,2023-05-29
2023-05-30,The Little Mermaid,2023,https://boxd.it/4j8OQZ,4.5,,,2023-05-29
2023-06-06,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/4kWeTx,5,Yes,,2023-06-05
2023-06-06,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4kYjdZ,5,Yes,,2023-06-05
2023-06-18,Elemental,2023,https://boxd.it/4ol6kL,4,,,2023-06-17
2023-06-23,Asteroid City,2023,https://boxd.it/4pKfld,5,,,2023-06-22
2023-06-24,Past Lives,2023,https://boxd.it/4pYNVH,5,,,2023-06-23
2023-06-28,Scream VI,2023,https://boxd.it/4r5m4J,3.5,,,2023-06-27
2023-06-30,Asteroid City,2023,https://boxd.it/4rKZpj,5,Yes,,2023-06-29
2023-07-04,Bodies Bodies Bodies,2022,https://boxd.it/4sPZq1,5,,,2023-07-03
2023-07-05,Nimona,2023,https://boxd.it/4taIkn,5,,"😂, 😭, 🥹, netflix, w/ family",2023-07-04
2023-07-05,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/4tisRB,4,,,2023-07-04
2023-07-10,Nausicaä of the Valley of the Wind,1984,https://boxd.it/4uMm1j,5,Yes,,2023-07-09
2023-07-13,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/4vBjcl,4,,,2023-07-12
2023-07-14,Babylon,2022,https://boxd.it/4vZxPT,4,,,2023-07-13
2023-07-14,There Will Be Blood,2007,https://boxd.it/4vZAyh,5,,,2023-07-13
2023-07-15,Free Guy,2021,https://boxd.it/4wcRS5,3.5,Yes,,2023-07-14
2023-07-16,My Neighbor Totoro,1988,https://boxd.it/4wsR71,5,Yes,,2023-07-15
2023-07-16,Lilo & Stitch,2002,https://boxd.it/4wsWTp,5,Yes,,2023-07-15
2023-07-16,This Place Rules,2022,https://boxd.it/4wxQKr,3,,,2023-07-15
2023-07-19,1917,2019,https://boxd.it/4xyyHb,5,,,2023-07-18
2023-07-21,Barbie,2023,https://boxd.it/4ybVrN,5,,"w/ megan, 🥹, 😭, 😩, 💖",2023-07-20
2023-07-22,Oppenheimer,2023,https://boxd.it/4yDc8n,5,,,2023-07-21
2023-08-16,Talk to Me,2022,https://boxd.it/4HH1ar,5,,,2023-08-15
2023-08-23,The Wind Rises,2013,https://boxd.it/4JWGVV,5,,,2023-08-22
2023-09-03,Talk to Me,2022,https://boxd.it/4N1WPB,5,Yes,"solo, 🕯️, 😩, 😭",2023-09-02
2023-09-03,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/4N1ZzV,3.5,,"w/ Megan, 🥹, 😂",2023-09-02
2023-09-05,Top Gun: Maverick,2022,https://boxd.it/4NRvsf,4.5,Yes,"🥹, 😭",2023-09-04
2023-09-15,Ahsoka,2023,https://boxd.it/4QGxq1,5,,"solo, 💖, 😩, 😭, bestofstarwars",2023-09-14
2023-09-20,Interstellar,2014,https://boxd.it/4S7zPP,5,Yes,"📖, solo, 🥹, 😭, 💖",2023-09-19
2023-09-23,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/4SUhYn,5,Yes,"w/ megan, 😭, 🥹, 💖",2023-09-22
2023-09-25,You've Got Mail,1998,https://boxd.it/4TzXUp,3.5,Yes,"🥹, 😭, 💖",2023-09-24
2023-10-03,A Haunting in Venice,2023,https://boxd.it/4VVsLj,4,,"w/ megan, in/theaters",2023-10-02
2023-10-05,The Creator,2023,https://boxd.it/4WDfmj,2.5,,"imax, solo",2023-10-04
2023-10-23,The Many Adventures of Winnie the Pooh,1977,https://boxd.it/52EQnp,,Yes,,2023-10-22
2023-12-07,The Green Knight,2021,https://boxd.it/5htSKj,5,Yes,,2023-12-06
2023-12-27,It's a Wonderful Life,1946,https://boxd.it/5ptf67,5,Yes,,2023-12-26
2023-12-28,Encanto,2021,https://boxd.it/5pXx65,5,Yes,,2023-12-27
2024-01-17,Scott Pilgrim Takes Off,2023,https://boxd.it/5C2wBz,5,,,2024-01-16
2024-01-28,Godzilla,2014,https://boxd.it/5HBUVN,3.5,Yes,,2024-01-27
2024-02-21,Snowpiercer,2013,https://boxd.it/5SQCwJ,4,,,2024-02-20
2024-02-25,Whiplash,2014,https://boxd.it/5UC21P,5,,,2024-02-24
2024-02-26,Demon Slayer: Kimetsu no Yaiba,2019,https://boxd.it/5UOhh3,4,,,2024-02-25
2024-03-01,Dune: Part Two,2024,https://boxd.it/5WIX2Z,5,,,2024-02-29
2024-03-10,Dune: Part Two,2024,https://boxd.it/616quP,5,Yes,,2024-03-09
2024-03-17,Kung Fu Panda 4,2024,https://boxd.it/64kWUv,3,,,2024-03-16
2024-04-13,Civil War,2024,https://boxd.it/6govxl,5,,,2024-04-12
2024-04-17,Attack on Titan The Final Chapters: Special 2,2023,https://boxd.it/6i5Ydz,5,,,2024-04-16
2024-04-25,Civil War,2024,https://boxd.it/6l1Tln,5,Yes,,2024-04-24
2024-04-30,Shōgun,2024,https://boxd.it/6neCSj,5,,,2024-04-29
2024-05-19,The Iron Claw,2023,https://boxd.it/6v72gL,5,,,2024-05-18
2024-06-26,The Idea of You,2024,https://boxd.it/6KzXrn,,,,2024-06-25
2024-07-13,Mr. & Mrs. Smith,2005,https://boxd.it/6RnDRf,5,Yes,,2024-07-12
2024-08-07,Trap,2024,https://boxd.it/72O6ip,5,,,2024-08-06
2024-09-05,The Fall Guy,2024,https://boxd.it/7gceE9,4,Yes,,2024-09-04
2024-09-10,The Boy and the Heron,2023,https://boxd.it/7izu0N,5,Yes,,2024-09-09
2024-09-21,Coco,2017,https://boxd.it/7nfB27,4.5,Yes,en español,2024-09-20
2024-10-15,Bottoms,2023,https://boxd.it/7yuErD,5,Yes,,2024-10-14
2024-10-22,Wonder,2017,https://boxd.it/7BXpCB,,,,2024-10-21
2024-10-26,Venom: The Last Dance,2024,https://boxd.it/7DWzXF,,,,2024-10-25
2024-11-13,Heretic,2024,https://boxd.it/7NvTap,3,,,2024-11-12
